floc,floc_description,work_order_id,work_order_basic_finish_date,work_order_desc,activity_type,level
BR200434-91-01,Bridge 85.630km TRACK 1,80107133,2022-06-12,LVJ-SAJ DCP Test 85.590-86.300km,C20,Structure Track
BR200434-91-01,Bridge 85.630km TRACK 1,80108147,2022-07-12,SR_cab LVJ-SAJ Downs Ck 85.590-86.300KM.,C20,Structure Track
BR200434-91-01,Bridge 85.630km TRACK 1,80108206,2022-07-14,SUPP LVJ-SAJ Downs Ck ISO BND 85.590-86.,C20,Structure Track
BR200434-91-01,Bridge 85.630km TRACK 1,80108533,2022-07-29,BBR GA LVJ-SAJ Downs Ck 85.590-86.300KM.,C20,Structure Track
BR200434-91-01,Bridge 85.630km TRACK 1,80108136,2022-07-29,SR_ bnd LT-SI Downs Ck 85.590-86.300KM.,C20,Structure Track
BR200434-91-01,Bridge 85.630km TRACK 1,80107337,2022-09-24,BBR GA LVJ-SAJ Downs Ck 85.590-86.300KM,C20,Structure Track
BR200434-91-01,Bridge 85.630km TRACK 1,80108131,2023-06-30,BBR GA LVJ-SAJ Downs Ck 85.590-86.300KM.,C20,Structure Track
BR200447,Bridge 120.490km NPMC Roper Creek,80104521,2021-08-05,Middlemount Jnct C20,C20,Bridges
BR200447-91-01,Bridge 120.490km TRACK 1,80104265,2021-08-13,TC TSR Support MIJ 120.325-120.650,C20,Structure Track
BR200483-91-01,Bridge 13.310km TRACK 1,80107134,2022-06-12,IGD-MIJ DCP Test 13.280-13.320km,C20,Structure Track
BR200483-91-01,Bridge 13.310km TRACK 1,80109734,2022-09-12,SR_BBR GA Ingsdon North Ck 13.280km,C20,Structure Track
BR200483-91-01,Bridge 13.310km TRACK 1,80109361,2022-09-28,SR_cab Ingsdon North Ck 13.280-13.320KM.,C20,Structure Track
BR200483-91-01,Bridge 13.310km TRACK 1,80109641,2022-10-03,Ingsdon - Millenium Main C20,C20,Structure Track
BR200483-91-01,Bridge 13.310km TRACK 1,80109324,2022-10-04,IGD TSR Sup 13.280-13.320KM.,C20,Structure Track
BR200483-91-01,Bridge 13.310km TRACK 1,80109333,2022-10-04,SR_BBR IN-RM North Ck 13.280-13.320KM.,C20,Structure Track
BR200483-91-01,Bridge 13.310km TRACK 1,80109398,2022-10-04,SR_BBR Ingsdon North Ck 13.280-13.320KM,C20,Structure Track
BR200483-91-01,Bridge 13.310km TRACK 1,80113341,2023-06-26,SR_ Cab Ingsdon North Ck 13.280-13.320,C20,Structure Track
BR200483-91-01,Bridge 13.310km TRACK 1,80113342,2023-07-11,SR_Ingsdon North Ck 13.280-13.320,C20,Structure Track
BR200483-91-01,Bridge 13.310km TRACK 1,80113562,2023-07-13,Ingsdon - Millennium Main C20,C20,Structure Track
